city,country,continent,population,year,transport_mode,modal_share_pct,avg_trip_km,daily_trips,emission_factor_co2_kg_per_pkm,emission_factor_nox_kg_per_pkm,emission_factor_pm10_kg_per_pkm,energy_intensity_MJ_per_pkm
Mumbai,India,Asia,20700000,2019,Bicycle,3.073,6.12,2,0,0,0,0
Mumbai,India,Asia,20700000,2019,Walk,5.919,2.56,2,0,0,0,0
Mumbai,India,Asia,20700000,2020,Car,16.274,12.18,2,0.186873,0.00039241,5.85E-05,2.2688
Mumbai,India,Asia,20700000,2020,Motorcycle,11.219,8.28,2,0.10192,0.00069219,7.85E-05,1.53886
Mumbai,India,Asia,20700000,2020,ElectricCar,4.927,13.32,2,0.034461,1.33E-05,3.19E-06,0.36883
Mumbai,India,Asia,20700000,2020,ElectricBike,3.251,7.96,2,0.005358,2.00E-06,4.93E-07,0.05112
Mumbai,India,Asia,20700000,2020,Bus,28.666,10.53,2,0.081653,0.00111267,0.000112587,1.00955
Mumbai,India,Asia,20700000,2020,Rail,26.81,15.02,2,0.027273,1.01E-05,1.84E-06,0.18842
Mumbai,India,Asia,20700000,2020,Bicycle,3.071,5.5,2,0,0,0,0
Mumbai,India,Asia,20700000,2020,Walk,5.783,2.72,2,0,0,0,0
Mumbai,India,Asia,20700000,2021,Car,16.465,12.54,4,0.186653,0.00041307,5.24E-05,2.37884
Mumbai,India,Asia,20700000,2021,Motorcycle,10.556,7.75,4,0.105813,0.00067804,7.64E-05,1.59623
Mumbai,India,Asia,20700000,2021,ElectricCar,4.956,13.93,4,0.035769,1.11E-05,3.02E-06,0.36573
Mumbai,India,Asia,20700000,2021,ElectricBike,3.511,8.12,4,0.00526,1.72E-06,5.31E-07,0.05247
Mumbai,India,Asia,20700000,2021,Bus,28.463,10.4,4,0.077625,0.00115487,9.74E-05,1.07993
Mumbai,India,Asia,20700000,2021,Rail,27.705,15.49,4,0.027036,9.81E-06,1.85E-06,0.20793
Mumbai,India,Asia,20700000,2021,Bicycle,2.792,5.42,4,0,0,0,0
Mumbai,India,Asia,20700000,2021,Walk,5.552,2.75,4,0,0,0,0
Mumbai,India,Asia,20700000,2022,Car,17.835,12.05,2,0.182108,0.00038601,5.41E-05,2.24374
Mumbai,India,Asia,20700000,2022,Motorcycle,11.498,9.02,2,0.110074,0.00071301,7.29E-05,1.44009
Mumbai,India,Asia,20700000,2022,ElectricCar,5.553,13.42,2,0.033479,1.26E-05,2.90E-06,0.34419
Mumbai,India,Asia,20700000,2022,ElectricBike,3.974,7.67,2,0.00521,1.80E-06,3.93E-07,0.05111
Mumbai,India,Asia,20700000,2022,Bus,26.007,10.6,2,0.085445,0.00108377,0.000110068,0.97454
Mumbai,India,Asia,20700000,2022,Rail,26.672,14.76,2,0.026778,9.23E-06,1.86E-06,0.19242
Mumbai,India,Asia,20700000,2022,Bicycle,2.639,5.26,2,0,0,0,0
Mumbai,India,Asia,20700000,2022,Walk,5.823,3.08,2,0,0,0,0
Mumbai,India,Asia,20700000,2023,Car,17.315,12.64,2,0.17636,0.00036506,5.18E-05,2.2327
Mumbai,India,Asia,20700000,2023,Motorcycle,12.326,8.25,2,0.104782,0.0007318,6.84E-05,1.481
Mumbai,India,Asia,20700000,2023,ElectricCar,5.646,14.06,2,0.03432,1.23E-05,2.88E-06,0.32432
Mumbai,India,Asia,20700000,2023,ElectricBike,4.248,7.56,2,0.005161,1.92E-06,4.87E-07,0.05368
Mumbai,India,Asia,20700000,2023,Bus,25.997,10.75,2,0.072985,0.00103936,9.88E-05,1.01373
Mumbai,India,Asia,20700000,2023,Rail,25.734,14.87,2,0.025427,8.56E-06,1.69E-06,0.19104
Mumbai,India,Asia,20700000,2023,Bicycle,3.257,5.33,2,0,0,0,0
Mumbai,India,Asia,20700000,2023,Walk,5.477,2.89,2,0,0,0,0
Mumbai,India,Asia,20700000,2024,Car,16.923,12.33,2,0.184797,0.00037634,5.31E-05,2.23387
Mumbai,India,Asia,20700000,2024,Motorcycle,11.55,8.98,2,0.102545,0.00069064,7.62E-05,1.49474
Mumbai,India,Asia,20700000,2024,ElectricCar,5.503,13.42,2,0.034194,1.19E-05,2.86E-06,0.35256
Mumbai,India,Asia,20700000,2024,ElectricBike,4.131,7.87,2,0.005043,1.69E-06,4.44E-07,0.05234
Mumbai,India,Asia,20700000,2024,Bus,25.852,10.09,2,0.081346,0.00100755,9.72E-05,1.01373
Mumbai,India,Asia,20700000,2024,Rail,27.387,14.83,2,0.024098,8.29E-06,1.73E-06,0.19123
Mumbai,India,Asia,20700000,2024,Bicycle,3.075,5.64,2,0,0,0,0
Mumbai,India,Asia,20700000,2024,Walk,5.579,2.84,2,0,0,0,0
Delhi,India,Asia,32000000,2015,Car,21.527,12.49,4,0.195166,0.00044195,5.97E-05,2.57712
Delhi,India,Asia,32000000,2015,Motorcycle,13.485,8.69,4,0.110395,0.0007781,8.74E-05,1.68397
Delhi,India,Asia,32000000,2015,ElectricCar,1.982,13.82,4,0.039235,1.31E-05,3.46E-06,0.383
Delhi,India,Asia,32000000,2015,ElectricBike,2.134,8.16,4,0.005631,2.11E-06,4.80E-07,0.0562
Delhi,India,Asia,32000000,2015,Bus,27.256,10.79,4,0.085401,0.00122746,0.00010839,1.06784
Delhi,India,Asia,32000000,2015,Rail,19.322,14.6,4,0.0278,9.39E-06,2.29E-06,0.19611
Delhi,India,Asia,32000000,2015,Bicycle,4.243,5.51,4,0,0,0,0
Delhi,India,Asia,32000000,2015,Walk,10.051,2.98,4,0,0,0,0
Delhi,India,Asia,32000000,2016,Car,21.901,12.84,2,0.185735,0.00046592,5.53E-05,2.45767
Delhi,India,Asia,32000000,2016,Motorcycle,15.12,8.6,2,0.112486,0.00075936,7.99E-05,1.40968
Delhi,India,Asia,32000000,2016,ElectricCar,2.304,14.21,2,0.036742,1.43E-05,3.37E-06,0.39594
Delhi,India,Asia,32000000,2016,ElectricBike,2.263,7.15,2,0.00524,1.72E-06,5.45E-07,0.05444
Delhi,India,Asia,32000000,2016,Bus,24.123,11.02,2,0.082928,0.00115839,0.000119682,1.08266
Delhi,India,Asia,32000000,2016,Rail,19.715,15.34,2,0.028323,1.18E-05,2.11E-06,0.21348
Delhi,India,Asia,32000000,2016,Bicycle,4.205,5.9,2,0,0,0,0
Delhi,India,Asia,32000000,2016,Walk,10.37,3.07,2,0,0,0,0
Delhi,India,Asia,32000000,2017,Car,22.362,12.81,3,0.181983,0.00043354,5.98E-05,2.4368
Delhi,India,Asia,32000000,2017,Motorcycle,14.476,8.85,3,0.102156,0.00076667,8.70E-05,1.62628
Delhi,India,Asia,32000000,2017,ElectricCar,2.275,13.24,3,0.036031,1.32E-05,3.41E-06,0.40155
Delhi,India,Asia,32000000,2017,ElectricBike,2.768,7.63,3,0.005425,1.89E-06,5.67E-07,0.05602
Delhi,India,Asia,32000000,2017,Bus,24.248,10.45,3,0.087427,0.00127344,0.00011562,1.10529
Delhi,India,Asia,32000000,2017,Rail,19.567,14.86,3,0.028179,1.04E-05,2.01E-06,0.21289
Delhi,India,Asia,32000000,2017,Bicycle,4.336,5.79,3,0,0,0,0
Delhi,India,Asia,32000000,2017,Walk,9.968,2.77,3,0,0,0,0
Delhi,India,Asia,32000000,2018,Car,21.621,11.94,3,0.185823,0.00042793,5.82E-05,2.38151
Delhi,India,Asia,32000000,2018,Motorcycle,15.3,8.12,3,0.102457,0.00073819,8.50E-05,1.59419
Delhi,India,Asia,32000000,2018,ElectricCar,2.456,13.83,3,0.034,1.26E-05,3.39E-06,0.38058
Delhi,India,Asia,32000000,2018,ElectricBike,3.102,7.87,3,0.005497,2.09E-06,5.35E-07,0.05255
Delhi,India,Asia,32000000,2018,Bus,24.202,11.2,3,0.086002,0.00117004,0.000118736,1.10106
Delhi,India,Asia,32000000,2018,Rail,20.123,14.84,3,0.027157,9.57E-06,1.88E-06,0.21155
Delhi,India,Asia,32000000,2018,Bicycle,3.626,5.49,3,0,0,0,0
Delhi,India,Asia,32000000,2018,Walk,9.571,2.74,3,0,0,0,0
Delhi,India,Asia,32000000,2019,Car,22.284,11.84,3,0.191276,0.00039823,5.43E-05,2.26332
Delhi,India,Asia,32000000,2019,Motorcycle,14.996,8.02,3,0.106584,0.00082539,8.74E-05,1.52947
Delhi,India,Asia,32000000,2019,ElectricCar,3.158,14.39,3,0.035992,1.35E-05,3.13E-06,0.36538
Delhi,India,Asia,32000000,2019,ElectricBike,3.153,7.84,3,0.005532,2.05E-06,4.98E-07,0.05861
Delhi,India,Asia,32000000,2019,Bus,22.576,10.44,3,0.085343,0.00103518,9.42E-05,1.13278
Delhi,India,Asia,32000000,2019,Rail,19.908,15.76,3,0.026226,9.04E-06,2.07E-06,0.19819
Delhi,India,Asia,32000000,2019,Bicycle,4.118,5.51,3,0,0,0,0
Delhi,India,Asia,32000000,2019,Walk,9.808,2.92,3,0,0,0,0
Delhi,India,Asia,32000000,2020,Car,20.344,12.44,2,0.179884,0.00042058,5.23E-05,2.34864
Delhi,India,Asia,32000000,2020,Motorcycle,15.151,8.63,2,0.09848,0.00074649,8.65E-05,1.48382
Delhi,India,Asia,32000000,2020,ElectricCar,3.112,14.17,2,0.036131,1.38E-05,3.13E-06,0.36167
Delhi,India,Asia,32000000,2020,ElectricBike,3.602,7.61,2,0.005382,1.92E-06,5.03E-07,0.05282
Delhi,India,Asia,32000000,2020,Bus,22.696,10.78,2,0.087095,0.00101709,0.000110392,1.11246
Delhi,India,Asia,32000000,2020,Rail,20.789,14.65,2,0.026346,9.38E-06,1.84E-06,0.19557
Delhi,India,Asia,32000000,2020,Bicycle,3.674,5.95,2,0,0,0,0
Delhi,India,Asia,32000000,2020,Walk,10.631,3.1,2,0,0,0,0
Delhi,India,Asia,32000000,2021,Car,21.781,12.63,4,0.184105,0.00037798,5.67E-05,2.35689
Delhi,India,Asia,32000000,2021,Motorcycle,13.812,8.35,4,0.099092,0.00077474,7.88E-05,1.48971
Delhi,India,Asia,32000000,2021,ElectricCar,3.358,13.14,4,0.036442,1.21E-05,3.05E-06,0.34318
Delhi,India,Asia,32000000,2021,ElectricBike,3.657,7.86,4,0.005233,1.94E-06,5.09E-07,0.05088
Delhi,India,Asia,32000000,2021,Bus,25.375,9.53,4,0.087244,0.00111433,0.000104196,1.0594
Delhi,India,Asia,32000000,2021,Rail,17.865,14.63,4,0.02809,9.25E-06,1.88E-06,0.21439
Delhi,India,Asia,32000000,2021,Bicycle,3.797,5.88,4,0,0,0,0
Delhi,India,Asia,32000000,2021,Walk,10.355,2.8,4,0,0,0,0
Delhi,India,Asia,32000000,2022,Car,22.258,13.27,2,0.174862,0.000362,5.27E-05,2.24411
Delhi,India,Asia,32000000,2022,Motorcycle,14.402,8.67,2,0.100238,0.00067627,8.15E-05,1.5519
Delhi,India,Asia,32000000,2022,ElectricCar,3.533,12.94,2,0.033688,1.13E-05,2.84E-06,0.34154
Delhi,India,Asia,32000000,2022,ElectricBike,4.058,7.7,2,0.005146,1.75E-06,4.67E-07,0.05399
Delhi,India,Asia,32000000,2022,Bus,22.895,10.16,2,0.089049,0.00104233,0.00010063,1.09112
Delhi,India,Asia,32000000,2022,Rail,19.672,14.47,2,0.026375,8.74E-06,1.97E-06,0.19314
Delhi,India,Asia,32000000,2022,Bicycle,3.953,5.79,2,0,0,0,0
Delhi,India,Asia,32000000,2022,Walk,9.229,2.91,2,0,0,0,0
Delhi,India,Asia,32000000,2023,Car,21.227,13.34,2,0.169307,0.00040556,5.02E-05,2.36824
Delhi,India,Asia,32000000,2023,Motorcycle,14.376,8.36,2,0.099507,0.0007707,7.38E-05,1.44913
Delhi,India,Asia,32000000,2023,ElectricCar,3.972,12.87,2,0.032389,1.24E-05,3.09E-06,0.34574
Delhi,India,Asia,32000000,2023,ElectricBike,4.284,7.7,2,0.004928,1.70E-06,4.42E-07,0.05007
Delhi,India,Asia,32000000,2023,Bus,22.36,10.07,2,0.076088,0.00089491,0.000102382,1.04843
Delhi,India,Asia,32000000,2023,Rail,20.059,14.26,2,0.026578,9.35E-06,1.60E-06,0.20421
Delhi,India,Asia,32000000,2023,Bicycle,3.788,5.6,2,0,0,0,0
Delhi,India,Asia,32000000,2023,Walk,9.934,2.97,2,0,0,0,0
Delhi,India,Asia,32000000,2024,Car,21.495,13.22,2,0.177526,0.00038598,5.08E-05,2.27719
Delhi,India,Asia,32000000,2024,Motorcycle,15.534,8.56,2,0.099389,0.00065905,7.67E-05,1.46651
Delhi,India,Asia,32000000,2024,ElectricCar,4.24,14.09,2,0.035663,1.21E-05,2.87E-06,0.35054
Delhi,India,Asia,32000000,2024,ElectricBike,4.776,7.44,2,0.004928,1.84E-06,4.18E-07,0.05432
Delhi,India,Asia,32000000,2024,Bus,22.279,10.44,2,0.080814,0.00099118,9.62E-05,0.99089
Delhi,India,Asia,32000000,2024,Rail,19.393,14.55,2,0.026784,8.14E-06,1.75E-06,0.18373
Delhi,India,Asia,32000000,2024,Bicycle,3.789,5.74,2,0,0,0,0
Delhi,India,Asia,32000000,2024,Walk,8.495,2.74,2,0,0,0,0
Shanghai,China,Asia,24900000,2015,Car,26.499,13.14,3,0.193706,0.00045908,6.09E-05,2.72588
Shanghai,China,Asia,24900000,2015,Motorcycle,4.975,8.19,3,0.110559,0.00071188,8.55E-05,1.46409
Shanghai,China,Asia,24900000,2015,ElectricCar,8.159,14.05,3,0.03448,1.26E-05,3.38E-06,0.35596
Shanghai,China,Asia,24900000,2015,ElectricBike,9.789,7.79,3,0.00518,1.71E-06,5.47E-07,0.05103
Shanghai,China,Asia,24900000,2015,Bus,17.704,10.29,3,0.087445,0.00115235,0.000134789,1.08169
Shanghai,China,Asia,24900000,2015,Rail,26.887,14.47,3,0.024782,9.85E-06,1.93E-06,0.19156
Shanghai,China,Asia,24900000,2015,Bicycle,3.901,5.38,3,0,0,0,0
Shanghai,China,Asia,24900000,2015,Walk,2.086,2.89,3,0,0,0,0
Shanghai,China,Asia,24900000,2016,Car,24.809,12.34,3,0.196284,0.00040267,5.89E-05,2.55051
Shanghai,China,Asia,24900000,2016,Motorcycle,5.11,9,3,0.112943,0.00072845,8.65E-05,1.55338
Shanghai,China,Asia,24900000,2016,ElectricCar,9.125,13.36,3,0.035197,1.30E-05,3.27E-06,0.34308
Shanghai,China,Asia,24900000,2016,ElectricBike,10.722,7.21,3,0.00514,2.13E-06,5.31E-07,0.05208
Shanghai,China,Asia,24900000,2016,Bus,18.032,11.25,3,0.085161,0.00124363,0.000122148,1.1473
Shanghai,China,Asia,24900000,2016,Rail,26.286,14.53,3,0.026732,1.01E-05,1.67E-06,0.21301
Shanghai,China,Asia,24900000,2016,Bicycle,3.955,5.77,3,0,0,0,0
Shanghai,China,Asia,24900000,2016,Walk,1.961,2.63,3,0,0,0,0
Shanghai,China,Asia,24900000,2017,Car,23.971,11.74,3,0.185628,0.00047463,5.11E-05,2.46445
Shanghai,China,Asia,24900000,2017,Motorcycle,5.277,8.3,3,0.103455,0.0007509,9.35E-05,1.736
Shanghai,China,Asia,24900000,2017,ElectricCar,9.6,13.38,3,0.036136,1.28E-05,3.13E-06,0.35632
Shanghai,China,Asia,24900000,2017,ElectricBike,11.69,7.54,3,0.005138,1.90E-06,4.88E-07,0.04644
Shanghai,China,Asia,24900000,2017,Bus,15.574,10.76,3,0.080562,0.00116334,0.000110996,1.06795
Shanghai,China,Asia,24900000,2017,Rail,27.844,14.65,3,0.02625,9.68E-06,1.62E-06,0.19508
Shanghai,China,Asia,24900000,2017,Bicycle,3.937,5.32,3,0,0,0,0
Shanghai,China,Asia,24900000,2017,Walk,2.107,2.97,3,0,0,0,0
Shanghai,China,Asia,24900000,2018,Car,22.391,12.14,4,0.185711,0.00039249,5.46E-05,2.46628
Shanghai,China,Asia,24900000,2018,Motorcycle,4.419,8.67,4,0.111125,0.00069347,8.57E-05,1.58192
Shanghai,China,Asia,24900000,2018,ElectricCar,10.311,12.8,4,0.03129,1.10E-05,2.82E-06,0.34452
Shanghai,China,Asia,24900000,2018,ElectricBike,13.417,8.05,4,0.005059,1.95E-06,4.94E-07,0.05027
Shanghai,China,Asia,24900000,2018,Bus,16.806,10.06,4,0.082072,0.00109197,0.000114341,1.03812
Shanghai,China,Asia,24900000,2018,Rail,27.141,14.32,4,0.024387,9.44E-06,1.83E-06,0.18069
Shanghai,China,Asia,24900000,2018,Bicycle,3.56,5.19,4,0,0,0,0
Shanghai,China,Asia,24900000,2018,Walk,1.955,3.09,4,0,0,0,0
Shanghai,China,Asia,24900000,2019,Car,22.381,12.62,4,0.196793,0.00043715,5.83E-05,2.40523
Shanghai,China,Asia,24900000,2019,Motorcycle,4.673,8.25,4,0.111328,0.00074617,7.79E-05,1.4251
Shanghai,China,Asia,24900000,2019,ElectricCar,9.904,13.36,4,0.032366,1.23E-05,3.19E-06,0.34311
Shanghai,China,Asia,24900000,2019,ElectricBike,14.765,7.69,4,0.005123,1.94E-06,4.46E-07,0.05309
Shanghai,China,Asia,24900000,2019,Bus,16.964,10.9,4,0.08354,0.00109592,0.000106371,1.05073
Shanghai,China,Asia,24900000,2019,Rail,25.696,14.94,4,0.024797,9.04E-06,1.85E-06,0.17633
Shanghai,China,Asia,24900000,2019,Bicycle,3.777,5.66,4,0,0,0,0
Shanghai,China,Asia,24900000,2019,Walk,1.839,2.89,4,0,0,0,0
Shanghai,China,Asia,24900000,2020,Car,22.627,13.7,3,0.181029,0.0004101,4.95E-05,2.36927
Shanghai,China,Asia,24900000,2020,Motorcycle,5.096,8.68,3,0.101766,0.00075602,7.82E-05,1.50296
Shanghai,China,Asia,24900000,2020,ElectricCar,11.975,13.31,3,0.032751,1.25E-05,2.96E-06,0.3212
Shanghai,China,Asia,24900000,2020,ElectricBike,15.599,7.58,3,0.004599,1.83E-06,4.95E-07,0.0487
Shanghai,China,Asia,24900000,2020,Bus,15.398,10.09,3,0.08118,0.00108782,0.000108043,1.09249
Shanghai,China,Asia,24900000,2020,Rail,24.001,14.91,3,0.024104,8.65E-06,1.73E-06,0.18811
Shanghai,China,Asia,24900000,2020,Bicycle,3.494,5.39,3,0,0,0,0
Shanghai,China,Asia,24900000,2020,Walk,1.81,2.68,3,0,0,0,0
Shanghai,China,Asia,24900000,2021,Car,22.532,12.71,3,0.189858,0.00038642,5.34E-05,2.36921
Shanghai,China,Asia,24900000,2021,Motorcycle,4.5,8.44,3,0.104666,0.00072823,7.49E-05,1.55428
Shanghai,China,Asia,24900000,2021,ElectricCar,12.157,13.42,3,0.031099,1.05E-05,2.71E-06,0.3381
Shanghai,China,Asia,24900000,2021,ElectricBike,17.446,7.41,3,0.004951,1.77E-06,4.38E-07,0.04899
Shanghai,China,Asia,24900000,2021,Bus,14.569,10.36,3,0.08202,0.00101863,0.000110088,0.95263
Shanghai,China,Asia,24900000,2021,Rail,23.852,14.72,3,0.024809,8.32E-06,1.59E-06,0.18737
Shanghai,China,Asia,24900000,2021,Bicycle,3.244,5.47,3,0,0,0,0
Shanghai,China,Asia,24900000,2021,Walk,1.701,2.89,3,0,0,0,0
Shanghai,China,Asia,24900000,2022,Car,21.801,12.67,2,0.182766,0.00037254,5.09E-05,2.40698
Shanghai,China,Asia,24900000,2022,Motorcycle,4.375,8.24,2,0.098315,0.00062628,6.87E-05,1.53057
Shanghai,China,Asia,24900000,2022,ElectricCar,11.936,13.44,2,0.031444,1.14E-05,2.92E-06,0.3276
Shanghai,China,Asia,24900000,2022,ElectricBike,18.008,7.38,2,0.004629,1.64E-06,4.13E-07,0.04495
Shanghai,China,Asia,24900000,2022,Bus,16.203,10.18,2,0.076707,0.00098993,9.91E-05,0.95499
Shanghai,China,Asia,24900000,2022,Rail,22.611,14.66,2,0.023383,8.75E-06,1.74E-06,0.1701
Shanghai,China,Asia,24900000,2022,Bicycle,3.267,5.72,2,0,0,0,0
Shanghai,China,Asia,24900000,2022,Walk,1.799,2.84,2,0,0,0,0
Shanghai,China,Asia,24900000,2023,Car,20.47,13.63,4,0.194983,0.00043672,5.44E-05,2.27597
Shanghai,China,Asia,24900000,2023,Motorcycle,4.314,8.48,4,0.106826,0.00065373,7.18E-05,1.47172
Shanghai,China,Asia,24900000,2023,ElectricCar,13.594,14.49,4,0.031372,1.15E-05,2.76E-06,0.34792
Shanghai,China,Asia,24900000,2023,ElectricBike,19.046,7.01,4,0.004623,1.69E-06,4.21E-07,0.04564
Shanghai,China,Asia,24900000,2023,Bus,13.979,10.02,4,0.077946,0.00099978,0.00010326,1.04471
Shanghai,China,Asia,24900000,2023,Rail,23.733,14.03,4,0.024203,8.55E-06,1.65E-06,0.17309
Shanghai,China,Asia,24900000,2023,Bicycle,3.106,5.42,4,0,0,0,0
Shanghai,China,Asia,24900000,2023,Walk,1.759,2.84,4,0,0,0,0
Shanghai,China,Asia,24900000,2024,Car,21.354,12.5,2,0.184666,0.00038395,5.04E-05,2.27108
Shanghai,China,Asia,24900000,2024,Motorcycle,3.998,8.84,2,0.101181,0.00063968,6.58E-05,1.4096
Shanghai,China,Asia,24900000,2024,ElectricCar,13.233,14.05,2,0.031234,1.03E-05,2.47E-06,0.33715
Shanghai,China,Asia,24900000,2024,ElectricBike,17.49,7.62,2,0.004533,1.60E-06,4.72E-07,0.04755
Shanghai,China,Asia,24900000,2024,Bus,15.133,10.87,2,0.081379,0.00097628,0.000103687,1.03998
Shanghai,China,Asia,24900000,2024,Rail,23.879,13.69,2,0.023181,7.40E-06,1.71E-06,0.16861
Shanghai,China,Asia,24900000,2024,Bicycle,3.265,5.79,2,0,0,0,0
Shanghai,China,Asia,24900000,2024,Walk,1.648,2.89,2,0,0,0,0
Beijing,China,Asia,21500000,2015,Car,29.529,12.59,3,0.194482,0.00043975,5.75E-05,2.36469
Beijing,China,Asia,21500000,2015,Motorcycle,4.366,8.38,3,0.111029,0.00080728,7.83E-05,1.59591
Beijing,China,Asia,21500000,2015,ElectricCar,10.064,13.17,3,0.034637,1.41E-05,3.63E-06,0.3526
Beijing,China,Asia,21500000,2015,ElectricBike,7.269,7.23,3,0.004769,1.94E-06,5.00E-07,0.05261
Beijing,China,Asia,21500000,2015,Bus,14.262,10.75,3,0.084882,0.00116146,0.000120272,1.06557
Beijing,China,Asia,21500000,2015,Rail,27.581,13.91,3,0.02615,1.16E-05,1.79E-06,0.19603
Beijing,China,Asia,21500000,2015,Bicycle,4.723,5.37,3,0,0,0,0
Beijing,China,Asia,21500000,2015,Walk,2.207,2.73,3,0,0,0,0
Beijing,China,Asia,21500000,2016,Car,28.685,12.73,3,0.197461,0.00042081,6.44E-05,2.42692
Beijing,China,Asia,21500000,2016,Motorcycle,3.823,8.52,3,0.112858,0.00078188,7.96E-05,1.66536
Beijing,China,Asia,21500000,2016,ElectricCar,10.122,13.2,3,0.03608,1.35E-05,3.04E-06,0.37674
Beijing,China,Asia,21500000,2016,ElectricBike,8.963,7.7,3,0.00489,1.86E-06,5.17E-07,0.05287
Beijing,China,Asia,21500000,2016,Bus,14.175,10.24,3,0.088763,0.0011957,0.000118248,1.10195
Beijing,China,Asia,21500000,2016,Rail,27.805,13.99,3,0.027406,9.43E-06,1.89E-06,0.18816
Beijing,China,Asia,21500000,2016,Bicycle,4.654,5.51,3,0,0,0,0
Beijing,China,Asia,21500000,2016,Walk,1.773,2.88,3,0,0,0,0
Beijing,China,Asia,21500000,2017,Car,26.777,11.94,2,0.180553,0.00046154,5.51E-05,2.50046
Beijing,China,Asia,21500000,2017,Motorcycle,3.586,8.85,2,0.118065,0.0007566,8.55E-05,1.52161
